"Tendências","Volume de pesquisa","Iniciado","Finalizada","Detalhamento da tendência","Acesse a página ""Explorar"""
"votar bbb 26","10 mil+","25 de fevereiro de 2026 às 02:20:00 UTC+1","25 de fevereiro de 2026 às 04:20:00 UTC+1","votar bbb 26,votar bbb","https://trends.google.com/trends/explore?q=votar%20bbb%2026&geo=BR&hl=pt-BR"
"bruna marquezine","5 mil+","25 de fevereiro de 2026 às 03:40:00 UTC+1","25 de fevereiro de 2026 às 05:30:00 UTC+1","bruna marquezine,sasha","https://trends.google.com/trends/explore?q=bruna%20marquezine&geo=BR&hl=pt-BR"
"sasha meneghel","2 mil+","25 de fevereiro de 2026 às 03:40:00 UTC+1","25 de fevereiro de 2026 às 06:20:00 UTC+1","sasha meneghel","https://trends.google.com/trends/explore?q=sasha%20meneghel&geo=BR&hl=pt-BR"
"pesadelo na cozinha 2026","2 mil+","24 de fevereiro de 2026 às 23:40:00 UTC+1","25 de fevereiro de 2026 às 04:40:00 UTC+1","pesadelo na cozinha 2026,pesadelo na cozinha","https://trends.google.com/trends/explore?q=pesadelo%20na%20cozinha%202026&geo=BR&hl=pt-BR"
"bbb ao vivo","5 mil+","25 de fevereiro de 2026 às 02:40:00 UTC+1","25 de fevereiro de 2026 às 04:40:00 UTC+1","bbb ao vivo,gshow bbb26","https://trends.google.com/trends/explore?q=bbb%20ao%20vivo&geo=BR&hl=pt-BR"
"tata werneck","2 mil+","25 de fevereiro de 2026 às 03:10:00 UTC+1","25 de fevereiro de 2026 às 05:40:00 UTC+1","tata werneck","https://trends.google.com/trends/explore?q=tata%20werneck&geo=BR&hl=pt-BR"
"tv globo ao vivo","5 mil+","25 de fevereiro de 2026 às 02:30:00 UTC+1","25 de fevereiro de 2026 às 04:20:00 UTC+1","tv globo ao vivo,tv globo ao vivo online grátis,globo ao vivo agora,globo ao vivo gratis,globo ao vivo online,tv ao vivo,globo online,tv globo ao vivo agora,globo online ao vivo,assistir globo online,assistir globo ao vivo grátis no celular,tv ao vivo gratis","https://trends.google.com/trends/explore?q=tv%20globo%20ao%20vivo&geo=BR&hl=pt-BR"
"bbb ao vivo agora","2 mil+","25 de fevereiro de 2026 às 02:20:00 UTC+1","25 de fevereiro de 2026 às 04:50:00 UTC+1","bbb ao vivo agora,milena","https://trends.google.com/trends/explore?q=bbb%20ao%20vivo%20agora&geo=BR&hl=pt-BR"
"sbt ao vivo","5 mil+","24 de fevereiro de 2026 às 21:00:00 UTC+1","24 de fevereiro de 2026 às 23:00:00 UTC+1","sbt ao vivo","https://trends.google.com/trends/explore?q=sbt%20ao%20vivo&geo=BR&hl=pt-BR"
"sbt","2 mil+","24 de fevereiro de 2026 às 20:50:00 UTC+1","24 de fevereiro de 2026 às 23:00:00 UTC+1","sbt","https://trends.google.com/trends/explore?q=sbt&geo=BR&hl=pt-BR"
"homem aranha 4","1 mil+","24 de fevereiro de 2026 às 22:30:00 UTC+1","25 de fevereiro de 2026 às 04:40:00 UTC+1","homem aranha 4","https://trends.google.com/trends/explore?q=homem%20aranha%204&geo=BR&hl=pt-BR"
"nicole bahls","1 mil+","25 de fevereiro de 2026 às 00:50:00 UTC+1","25 de fevereiro de 2026 às 05:40:00 UTC+1","nicole bahls","https://trends.google.com/trends/explore?q=nicole%20bahls&geo=BR&hl=pt-BR"
"juliano floss","2 mil+","25 de fevereiro de 2026 às 03:00:00 UTC+1","25 de fevereiro de 2026 às 04:10:00 UTC+1","juliano floss,babu santana","https://trends.google.com/trends/explore?q=juliano%20floss&geo=BR&hl=pt-BR"
"tim","2 mil+","25 de fevereiro de 2026 às 03:10:00 UTC+1","25 de fevereiro de 2026 às 04:20:00 UTC+1","tim","https://trends.google.com/trends/explore?q=tim&geo=BR&hl=pt-BR"
"show no morumbi hoje","1 mil+","24 de fevereiro de 2026 às 23:00:00 UTC+1","25 de fevereiro de 2026 às 02:00:00 UTC+1","show no morumbi hoje,taylor momsen,brian johnson,show,show morumbi hoje","https://trends.google.com/trends/explore?q=show%20no%20morumbi%20hoje&geo=BR&hl=pt-BR"
"assistir globo ao vivo","2 mil+","25 de fevereiro de 2026 às 02:40:00 UTC+1","25 de fevereiro de 2026 às 04:00:00 UTC+1","assistir globo ao vivo,assistir bbb ao vivo","https://trends.google.com/trends/explore?q=assistir%20globo%20ao%20vivo&geo=BR&hl=pt-BR"
"marina sena","1 mil+","25 de fevereiro de 2026 às 03:00:00 UTC+1","25 de fevereiro de 2026 às 04:10:00 UTC+1","marina sena","https://trends.google.com/trends/explore?q=marina%20sena&geo=BR&hl=pt-BR"
"ps5","1 mil+","25 de fevereiro de 2026 às 03:10:00 UTC+1","25 de fevereiro de 2026 às 07:00:00 UTC+1","ps5","https://trends.google.com/trends/explore?q=ps5&geo=BR&hl=pt-BR"
"marvel wolverine","500+","25 de fevereiro de 2026 às 01:50:00 UTC+1","25 de fevereiro de 2026 às 11:00:00 UTC+1","marvel wolverine","https://trends.google.com/trends/explore?q=marvel%20wolverine&geo=BR&hl=pt-BR"
"alanis guillen","1 mil+","25 de fevereiro de 2026 às 02:00:00 UTC+1","25 de fevereiro de 2026 às 03:30:00 UTC+1","alanis guillen","https://trends.google.com/trends/explore?q=alanis%20guillen&geo=BR&hl=pt-BR"
"globo play","2 mil+","25 de fevereiro de 2026 às 02:40:00 UTC+1","25 de fevereiro de 2026 às 03:50:00 UTC+1","globo play","https://trends.google.com/trends/explore?q=globo%20play&geo=BR&hl=pt-BR"
"gabriela medvedovski","1 mil+","25 de fevereiro de 2026 às 02:00:00 UTC+1","25 de fevereiro de 2026 às 03:30:00 UTC+1","gabriela medvedovski,resumo de 3 graças","https://trends.google.com/trends/explore?q=gabriela%20medvedovski&geo=BR&hl=pt-BR"
"o comite da vida","1 mil+","24 de fevereiro de 2026 às 19:40:00 UTC+1","24 de fevereiro de 2026 às 22:00:00 UTC+1","o comite da vida,comite da vida,sessao da tarde hoje,o comitê da vida","https://trends.google.com/trends/explore?q=o%20comite%20da%20vida&geo=BR&hl=pt-BR"
"pedro pascal","200+","25 de fevereiro de 2026 às 03:40:00 UTC+1","25 de fevereiro de 2026 às 11:40:00 UTC+1","pedro pascal","https://trends.google.com/trends/explore?q=pedro%20pascal&geo=BR&hl=pt-BR"
"programação sbt","500+","24 de fevereiro de 2026 às 19:40:00 UTC+1","24 de fevereiro de 2026 às 21:40:00 UTC+1","programação sbt","https://trends.google.com/trends/explore?q=programa%C3%A7%C3%A3o%20sbt&geo=BR&hl=pt-BR"
"ed skrein","500+","24 de fevereiro de 2026 às 19:40:00 UTC+1","25 de fevereiro de 2026 às 06:10:00 UTC+1","ed skrein","https://trends.google.com/trends/explore?q=ed%20skrein&geo=BR&hl=pt-BR"
"maquiagem roxa maxiane","500+","25 de fevereiro de 2026 às 02:30:00 UTC+1","25 de fevereiro de 2026 às 03:40:00 UTC+1","maquiagem roxa maxiane,sombra roxa maxiane bbb","https://trends.google.com/trends/explore?q=maquiagem%20roxa%20maxiane&geo=BR&hl=pt-BR"
"xuxa","200+","25 de fevereiro de 2026 às 04:00:00 UTC+1","25 de fevereiro de 2026 às 05:20:00 UTC+1","xuxa","https://trends.google.com/trends/explore?q=xuxa&geo=BR&hl=pt-BR"
"tv online","500+","25 de fevereiro de 2026 às 02:40:00 UTC+1","25 de fevereiro de 2026 às 04:00:00 UTC+1","tv online","https://trends.google.com/trends/explore?q=tv%20online&geo=BR&hl=pt-BR"
"gshow ao vivo","200+","25 de fevereiro de 2026 às 03:40:00 UTC+1","25 de fevereiro de 2026 às 05:00:00 UTC+1","gshow ao vivo","https://trends.google.com/trends/explore?q=gshow%20ao%20vivo&geo=BR&hl=pt-BR"
"enquete gshow bbb 26","200+","25 de fevereiro de 2026 às 02:50:00 UTC+1","25 de fevereiro de 2026 às 04:30:00 UTC+1","enquete gshow bbb 26","https://trends.google.com/trends/explore?q=enquete%20gshow%20bbb%2026&geo=BR&hl=pt-BR"
"band ao vivo","200+","25 de fevereiro de 2026 às 02:30:00 UTC+1","25 de fevereiro de 2026 às 03:30:00 UTC+1","band ao vivo","https://trends.google.com/trends/explore?q=band%20ao%20vivo&geo=BR&hl=pt-BR"
"coração de mãe","500+","25 de fevereiro de 2026 às 01:40:00 UTC+1","25 de fevereiro de 2026 às 02:50:00 UTC+1","coração de mãe,coração de mãe novela turca","https://trends.google.com/trends/explore?q=cora%C3%A7%C3%A3o%20de%20m%C3%A3e&geo=BR&hl=pt-BR"
"grazi massafera","500+","25 de fevereiro de 2026 às 02:00:00 UTC+1","25 de fevereiro de 2026 às 03:00:00 UTC+1","grazi massafera","https://trends.google.com/trends/explore?q=grazi%20massafera&geo=BR&hl=pt-BR"
"a nobreza do amor","200+","25 de fevereiro de 2026 às 02:00:00 UTC+1","25 de fevereiro de 2026 às 03:10:00 UTC+1","a nobreza do amor","https://trends.google.com/trends/explore?q=a%20nobreza%20do%20amor&geo=BR&hl=pt-BR"
"fernanda lima","200+","25 de fevereiro de 2026 às 03:10:00 UTC+1","25 de fevereiro de 2026 às 04:10:00 UTC+1","fernanda lima","https://trends.google.com/trends/explore?q=fernanda%20lima&geo=BR&hl=pt-BR"
"davi brito","100+","25 de fevereiro de 2026 às 08:30:00 UTC+1","25 de fevereiro de 2026 às 11:50:00 UTC+1","davi brito","https://trends.google.com/trends/explore?q=davi%20brito&geo=BR&hl=pt-BR"
"ana clara bbb","200+","25 de fevereiro de 2026 às 02:10:00 UTC+1","25 de fevereiro de 2026 às 03:20:00 UTC+1","ana clara bbb","https://trends.google.com/trends/explore?q=ana%20clara%20bbb&geo=BR&hl=pt-BR"
"sbt programação","200+","24 de fevereiro de 2026 às 20:10:00 UTC+1","24 de fevereiro de 2026 às 21:20:00 UTC+1","sbt programação","https://trends.google.com/trends/explore?q=sbt%20programa%C3%A7%C3%A3o&geo=BR&hl=pt-BR"
"max","500+","24 de fevereiro de 2026 às 19:20:00 UTC+1","24 de fevereiro de 2026 às 19:40:00 UTC+1","max","https://trends.google.com/trends/explore?q=max&geo=BR&hl=pt-BR"
"novela avenida brasil","200+","24 de fevereiro de 2026 às 20:10:00 UTC+1","24 de fevereiro de 2026 às 21:00:00 UTC+1","novela avenida brasil","https://trends.google.com/trends/explore?q=novela%20avenida%20brasil&geo=BR&hl=pt-BR"
